Field,Label,Value
created,Created,2016-05-05T21:14:41.518329
description,Description,Document with the number of cholera cases per month registered in Haiti since 2010
format,File Format,XLSX
download_url,Download URL,https://data.humdata.org/dataset/7b7bde8e-cf30-4d11-ab58-dd5091156d81/resource/8582e192-6d2c-4f6a-ab45-d22ac9cb090c/download/haiti_cholera-cases-per-month-since-2010.xlsx
id,Resource ID,8582e192-6d2c-4f6a-ab45-d22ac9cb090c
last_modified,Updated,2016-05-05T21:14:41.444944
metadata_modified,Metadata Updated,2023-03-02T22:00:04.517151
microdata,Microdata,False
dataset_id,Dataset ID,7b7bde8e-cf30-4d11-ab58-dd5091156d81
resource_type,Resource Type,file.upload
name,Resource Name,Haiti_cholera cases per month since 2010.xlsx
mimetype,MIME Type,
size,Size,10.7K
